会社名,概要,郵便番号,住所,設立年度,資本金等,代表者,URL,売上,従業員数
アプラージュ株式会社 ,アプラージュ株式会社は、水着や下着のインターネット通販を手掛ける企業である。ビキニやラッシュガード、サーフパンツなど豊富な種類の商品を取り扱っており、顧客のニーズに合った商品の販売をしている。デザインに限らず機能性にもこだわった商品で顧客からも高い評価を得ている。また企業向けにアパレルのOEM生産にも取り組んでいる。, 〒 963-0107 , 福島県郡山市安積4丁目203番3号 , 2013/11/18 ,"6,000,000円",菊池 徳彦,http://uplage.co.jp/,-,-
株式会社在宅訪問マッサージ ,株式会社在宅訪問マッサージは、訪問マッサージを行う企業である。主な業務は、麻痺や関節拘縮などの症状があり歩行通院が困難な人や自宅療養をしている人などを対象とした訪問マッサージであり、あん摩マッサージ指圧師の国家資格を持つスタッフが施術を行う。筋力の維持・強化、しびれた筋肉の現状維持、血行の改善などといった効果が期待できる。, 〒 963-0211 , 福島県郡山市片平町字新蟻塚110番地の1 , 1997/6/12 ,"20,000,000円",高橋 克幸,http://zhm.co.jp/index.html, 3億～10億  ,-
郡東運輸株式会社 ,群島運輸株式会社は主に倉庫業務、自動車整備業を行っている会社である。創業当時は北への入り口として東北方面を中心に一般貨物運送事業を行っていたが、Tougun-Groupへの参入を機に事業分割を経て現在の倉庫業務全般、自動車整備業への事業内容へと変更した。本社に加え、倉庫や整備工場を福島県に複数店舗持っており、広々とした環境の中で熱心に仕事を行っている。, 〒 963-0531 , 福島県郡山市日和田町高倉字荒田23番地 , 1966/9 ,"32,000,000円",荻原善光,http://www.tougun-group.co.jp/publics/index/23, 10億～100億  , 31名～100名 
株式会社　コスモメディカルサポート ,株式会社コスモメディカルサポートはショートステイやグループホーム、デイサービスなどの運営に伴う介護福祉事業を行う会社である。大きなコスモファーマグループの中のグループ会社の一つであり、福島県を中心に複数の介護施設を運営・管理している。一人一人へのきめ細やかなサポート、利用者とその家族の良きパートナーとなることを理念とし運営する。, 〒 963-8025 , 福島県郡山市桑野3-12-2 , 2004/11 ,"10,000,000円",水野 淳,http://cosmo-m-s.co.jp/, 10億～100億  , 101名～300名  
郡東エクスプレス株式会社 ,群東エクスプレス株式会社は主に南東北エリアをメインに一般貨物運送事業を展開する会社である。Tougun-Groupが取得した群島運輸株式会社との事業を明確化するために設立された。群島運輸株式会社の歴史と、グループの事業戦略を組み合わせ企業理念である「安信」できる未来を物流の力を使うことによってユーザー一人一人に提供することを目標とする。, 〒 963-0531 , 福島県郡山市日和田町高倉字荒田23番地 , 2009/1 , 1966/9 ,"50,000,000円","",-, 31名～100名 
有限会社会計事務所ＴＡＳＫ ,有限会社会計事務所TASKは企業や個人の税務・会計などの会計に関する業務全般を行っている会社である。会社の立ち上げや決算などの会計処理はもちろんのこと節税や保険の見直し、借入に関することなど金銭にかかわること全般に対応している。県外や遠隔地であってもメールなどで相談が可能。「感謝・情熱・挑戦・努力」を基本理念とし、縁ある人に幸福を運ぶことを信念としている。, 〒 963-8025 , 福島県郡山市桑野3丁目13番5号 , 2005/11/1 , 1983/8/2 ,-,"",-, 11名～30名  
株式会社ジェイバック ,株式会社ジェイバックはもも太郎さんという高齢者向けグループホームの運営などを行う会社である。法人設立は1999年、認知症患者専門の施設を運営しており、介護保険を適用しながらも住居としての役割を果たしている。またその他にデイサービスや高齢者専用の賃貸住宅や訪問介護サービスなど、多岐にわたる福祉サービスを充実させている。, 〒 963-0547 , 福島県郡山市喜久田町卸3丁目24番地 , 1999/8 ,"10,000,000円",平山 浩之,http://www.momotarousan.com/, 10億～100億  , 101名～300名  
株式会社ジェイバック ,株式会社ジェイバックはもも太郎さんという高齢者向けグループホームの運営などを行う会社である。法人設立は1999年、認知症患者専門の施設を運営しており、介護保険を適用しながらも住居としての役割を果たしている。またその他にデイサービスや高齢者専用の賃貸住宅や訪問介護サービスなど、多岐にわたる福祉サービスを充実させている。, 〒 963-0547 , 福島県郡山市喜久田町卸3丁目24番地 , 1999/8 ,"10,000,000円",平山 浩之,http://www.momotarousan.com/, 10億～100億  , 101名～300名  
スタンディ株式会社 ,スタンディ株式会社は障がい者就労支援などの福祉事業を行っている会社である。2017年に設立されたベンチャー企業であり「フクシを、タノシく。」をモットーに障がい者や社会的マイノリティの人々の就労支援事業や生活の支援、福祉事業を展開している。郡山市の事業所の他に福島市内にも就労移行支援の事業所を保有している。, 〒 963-8002 , 福島県郡山市駅前1丁目14番21号 , 2017/10 ,"30,000,000円",吉田 幸宏,http://standy.co.jp/,-, 11名～30名  
株式会社デザイン・ライフ ,株式会社デザイン・ライフは、印刷のデザインや取材、編集を行う会社である。商品名や社名、ロゴマークの開発や会座イン、ポスターやカタログなどの編集や印刷を行っている。また、新聞やテレビ、ラジオのホームページなどのデザイン制作や、各種イベントの企画、サインやディスプレイ制作なども行っており、オリジナルノベルティなどの企画デザインや製作も請け負っている。, 〒 963-8023 , 福島県郡山市緑町10番17号 , 1966/9/1 , 1963/2 ,"10,000,000円","",-,-
株式会社生活コンシェル ,株式会社生活コンシェルは、総合生活支援サービス業を行なっており、サイト「生活コンビニ倶楽部」の企画や運営を行っている会社である。生活支援サービスとして、高齢者向けの宅配弁当「幸楽御膳」を配食するサービスや掃除、洗濯、ハウスクリーニングなどの家事代行サービスを展開している。また、健康食品などの企画販売も手掛けており、さらには「ナーサリールームまんまぴあ」という保育施設の運営も行っている。, 〒 963-0209 , 福島県郡山市御前南3丁目147番地 , 2010/4/16 ,"8,000,000円",梨本 義暁,http://life-con.co.jp/,-, 31名～100名 
彰和建設株式会社 ,彰和建設株式会社は、鉄骨建方一式、足場組立、クレーンなどの組み立てなど、鳶工事を行う会社である。仮設資材のリースや、鉄塔工事、各種鳶工事の計画なども請け負っている。また、機械土工事や残土処分、コンクリート工事や土工工事計画や、各種建築工事、土木工事一式を請け負っている。千葉に支店を、東京に営業所を展開している。, 〒 963-8052 , 福島県郡山市八山田4丁目127 , 2014/5 ,-,-,"",-, 11名～30名  
合同会社Ｅｉｇｈｔｈ ,合同会社Eighthは経営ｺﾝｻﾙﾃｨﾝｸﾞを行う会社である｡また､講演会･ｼﾝﾎﾟｼﾞｳﾑおよびｾﾐﾅｰ等の開催､ﾏｰｹﾃｨﾝｸﾞ･経営情報の調査収集および提供､広告宣伝の情報媒体の企画､開発および販売､並びに広告代理業､WEBｻｲﾄ･ｱﾌﾟﾘ･ｼｽﾃﾑおよび機器の企画･制作･販売､書籍･雑誌その他の印刷物および電子出版物の企画･制作･販売等も手掛けている｡, 〒 963-8002 , 福島県郡山市駅前2丁目11番1号ビッグアイ1階 , 2019/8/8 ,-,木村 和彦,https://eighth.jp/,-,-
